Datetime,Close,Volume
20200427-1135,286.93,664370
20200427-1140,287.14,1266320
20200427-1145,287.05,1168131
20200427-1150,286.81,1272177
20200427-1155,286.91,372461
20200427-1200,286.51,796262
20200427-1205,286.58,603665
20200427-1210,286.66,434401
20200427-1215,286.86,493798
20200427-1220,286.76,407041
20200427-1225,286.7,799692
20200427-1230,287.14,914032
20200427-1235,287.03,1074835
20200427-1240,287.0,433564
20200427-1245,286.94,496167
20200427-1250,286.85,527549
20200427-1255,287.07,792240
20200427-1300,286.71,607766
20200427-1305,286.82,426535
20200427-1310,286.8,350296
20200427-1315,286.37,709224
20200427-1320,286.2,900198
20200427-1325,286.54,567268
20200427-1330,286.37,377095
20200427-1335,286.51,1084851
20200427-1340,286.22,536811
20200427-1345,286.26,763853
20200427-1350,286.52,441486
20200427-1355,286.52,466259
20200427-1400,286.82,466495
20200427-1405,286.87,285708
20200427-1410,286.98,397341
20200427-1415,287.02,383016
20200427-1420,286.98,351121
20200427-1425,286.86,355506
20200427-1430,286.96,512321
20200427-1435,287.08,403479
20200427-1440,287.23,1579075
20200427-1445,287.59,721056
20200427-1450,287.46,1175412
20200427-1455,287.36,502063
20200427-1500,287.65,959910
20200427-1505,287.29,778892
20200427-1510,287.61,1353394
20200427-1515,287.67,789726
20200427-1520,287.75,1414038
20200427-1525,287.51,1123472
20200427-1530,287.75,1039561
20200427-1535,287.84,1051605
20200427-1540,288.19,1386644
20200427-1545,288.08,1790771
20200427-1550,287.74,3253767
20200427-1555,287.11,4604766
20200428-0930,290.56,6611896
20200428-0935,290.53,1721222
20200428-0940,290.77,1820976
20200428-0945,290.49,4683886
20200428-0950,290.67,1392025
20200428-0955,289.48,2098649
20200428-1000,289.46,2756676
20200428-1005,289.89,1338506
20200428-1010,289.66,1105263
20200428-1015,289.43,1098953
20200428-1020,288.69,465527
20200428-1025,288.83,1148424
20200428-1030,288.45,1186052
20200428-1035,288.55,1013795
20200428-1040,287.34,1397064
20200428-1045,287.58,2635596
20200428-1050,286.8,1546065
20200428-1055,285.82,4686810
20200428-1100,286.39,1937221
20200428-1105,286.82,1564614
20200428-1110,287.07,1322948
20200428-1115,286.47,1308932
20200428-1120,286.91,1231236
20200428-1125,287.27,1021013
20200428-1130,287.62,1141133
20200428-1135,287.48,1159914
20200428-1140,287.49,619447
20200428-1145,287.17,1338690
20200428-1150,286.85,825560
20200428-1155,286.81,1034729
20200428-1200,286.66,862959
20200428-1205,287.16,781261
20200428-1210,286.92,1027078
20200428-1215,285.95,1211532
20200428-1220,286.15,658497
20200428-1225,286.41,510998
20200428-1230,286.75,758003
20200428-1235,286.69,477971
20200428-1240,286.8,525195
20200428-1245,286.83,497674
20200428-1250,286.61,475934
20200428-1255,287.31,791276
20200428-1300,287.54,542618
20200428-1305,287.44,526812
20200428-1310,287.19,469033
20200428-1315,287.09,424980
20200428-1320,287.38,798118
20200428-1325,287.41,542331
20200428-1330,287.21,513387
20200428-1335,287.13,452118
20200428-1340,287.91,775673
20200428-1345,287.84,1038724
20200428-1350,287.79,333381
20200428-1355,287.45,576592
20200428-1400,287.95,515438
20200428-1405,287.9,457010
20200428-1410,288.12,1180177
20200428-1415,288.07,432506
20200428-1420,288.11,511642
20200428-1425,288.09,1002550
20200428-1430,288.09,764084
20200428-1435,287.62,886619
20200428-1440,287.56,637872
20200428-1445,287.76,638262
20200428-1450,287.24,895518
20200428-1455,287.35,801846
20200428-1500,287.5,841641
20200428-1505,287.57,548958
20200428-1510,287.5,487924
20200428-1515,287.63,690819
20200428-1520,287.33,2094944
20200428-1525,287.54,787712
20200428-1530,287.26,755795
20200428-1535,287.43,1348213
20200428-1540,287.03,978762
20200428-1545,286.19,1707785
20200428-1550,285.55,4230610
20200428-1555,285.77,6264195
20200429-0930,291.03,11094374
20200429-0935,290.67,2335558
20200429-0940,291.17,1299143
20200429-0945,291.61,1818333
20200429-0950,291.82,1447774
20200429-0955,291.98,1427515
20200429-1000,291.56,1710921
20200429-1005,291.05,1429256
20200429-1010,291.1,2359829
20200429-1015,291.68,1212989
20200429-1020,291.92,1098345
20200429-1025,292.08,1159283
20200429-1030,292.13,1520472
20200429-1035,292.05,1125524
20200429-1040,292.24,587169
20200429-1045,292.22,953764
20200429-1050,292.54,1002770
20200429-1055,292.39,791461
20200429-1100,292.18,1159304
20200429-1105,292.33,839935
20200429-1110,292.45,998127
20200429-1115,292.65,1650074
20200429-1120,292.91,998087
20200429-1125,292.79,725853
20200429-1130,292.66,1282108
20200429-1135,292.43,621441
20200429-1140,292.41,649801
20200429-1145,292.64,1123069
20200429-1150,293.0,1409864
20200429-1155,292.89,1293085
20200429-1200,293.27,858181
20200429-1205,293.39,1229643
20200429-1210,293.42,833878
20200429-1215,293.31,1217011
20200429-1220,293.62,629585
20200429-1225,293.59,725647
20200429-1230,293.61,750754
20200429-1235,294.11,1243651
20200429-1240,294.14,867153
20200429-1245,294.26,747322
20200429-1250,294.18,743501
20200429-1255,293.94,862259
20200429-1300,294.28,947028
20200429-1305,294.51,936357
20200429-1310,294.38,730707
20200429-1315,294.48,562566
20200429-1320,294.11,585006
20200429-1325,294.01,1050394
20200429-1330,293.57,1181543
20200429-1335,293.67,834348
20200429-1340,293.38,602369
20200429-1345,293.73,815512
20200429-1350,293.59,1024164
20200429-1355,293.69,1240999
20200429-1400,293.17,2218828
20200429-1405,292.86,1331892
20200429-1410,292.92,1042280
20200429-1415,292.89,1273364
20200429-1420,293.31,1113584
20200429-1425,293.42,1668946
20200429-1430,293.46,1814696
20200429-1435,293.77,1565031
20200429-1440,293.94,831484
20200429-1445,293.57,848094
20200429-1450,293.23,898292
20200429-1455,293.97,1302284
20200429-1500,294.43,1203080
20200429-1505,294.36,1008977
20200429-1510,294.35,1045281
20200429-1515,294.33,1097694
20200429-1520,294.65,1520706
20200429-1525,294.79,1253732
20200429-1530,294.76,1609513
20200429-1535,294.58,1541894
20200429-1540,294.69,2147469
20200429-1545,294.55,2564932
20200429-1550,293.51,5779291
20200429-1555,293.19,5083223
20200430-0930,290.61,7898650
20200430-0935,290.22,2488140
20200430-0940,290.1,1903978
20200430-0945,290.24,1788107
20200430-0950,290.88,1869563
20200430-0955,291.23,2109467
20200430-1000,290.88,2778516
20200430-1005,291.47,1306378
20200430-1010,291.61,1212396
20200430-1015,291.48,1328436
20200430-1020,291.0,995619
20200430-1025,292.0,1090638
20200430-1030,292.1,1004927
20200430-1035,291.79,733645
20200430-1040,290.71,1270041
20200430-1045,291.03,2179021
20200430-1050,291.27,1450107
20200430-1055,291.04,1988769
20200430-1100,291.76,1117215
20200430-1105,291.62,1101633
20200430-1110,291.49,1566941
20200430-1115,291.21,918689
20200430-1120,291.03,1384224
20200430-1125,290.8,724498
20200430-1130,290.83,720755
20200430-1135,291.08,593457
20200430-1140,291.02,549436
20200430-1145,290.12,1374942
20200430-1150,289.92,920201
20200430-1155,289.6,1522588
20200430-1200,289.14,1736175
20200430-1205,289.41,1212464
20200430-1210,289.58,999941
20200430-1215,289.28,815067
20200430-1220,289.1,977634
20200430-1225,289.2,883164
20200430-1230,288.78,1023381
20200430-1235,289.23,1110611
20200430-1240,289.2,1891528
20200430-1245,289.58,729341
20200430-1250,289.78,1052777
20200430-1255,289.98,1997002
20200430-1300,289.38,962051
20200430-1305,289.75,514681
20200430-1310,290.34,1029502
20200430-1315,290.19,569851
20200430-1320,290.03,475347
20200430-1325,289.76,1216583
20200430-1330,289.65,731450
20200430-1335,289.5,861041
20200430-1340,289.41,807759
20200430-1345,289.34,408703
20200430-1350,289.36,804845
20200430-1355,289.22,397563
20200430-1400,289.51,927527
20200430-1405,289.56,470688
20200430-1410,289.92,545952
20200430-1415,289.49,781676
20200430-1420,289.68,390579
20200430-1425,289.72,994828
20200430-1430,289.99,980267
20200430-1435,289.46,1109231
20200430-1440,289.32,1106584
20200430-1445,289.4,824920
20200430-1450,289.25,1482085
20200430-1455,289.33,1288577
20200430-1500,289.2,748238
20200430-1505,289.77,1119991
20200430-1510,289.85,726740
20200430-1515,290.37,1488868
20200430-1520,290.78,1098697
20200430-1525,290.56,1123795
20200430-1530,290.44,1552598
20200430-1535,290.21,1289028
20200430-1540,290.04,1658148
20200430-1545,289.76,2388877
20200430-1550,290.96,3715516
20200430-1555,290.51,6121028
20200501-0930,285.95,5253967
20200501-0935,284.74,2300177
20200501-0940,284.8,2964076
20200501-0945,285.12,1423446
20200501-0950,284.55,2186904
20200501-0955,285.07,2401436
20200501-1000,285.45,2656936
20200501-1005,285.4,1036531
20200501-1010,285.02,3058879
20200501-1015,284.48,1130391
20200501-1020,284.35,3194975
20200501-1025,285.08,2252562
20200501-1030,285.1,1818842
20200501-1035,285.38,908115
20200501-1040,285.26,831950
20200501-1045,285.41,1017573
20200501-1050,285.22,972048
20200501-1055,285.11,1216641
20200501-1100,284.67,709549
20200501-1105,284.73,2282012
20200501-1110,284.87,1517143
20200501-1115,284.23,716639
20200501-1120,284.08,1825307
20200501-1125,283.88,1219580
20200501-1130,283.58,1547750
20200501-1135,283.95,1017915
20200501-1140,283.6,669244
20200501-1145,282.92,2459457
20200501-1150,282.71,1447552
20200501-1155,282.72,1867520
20200501-1200,282.03,1767897
20200501-1205,282.36,1852890
20200501-1210,282.98,1542194
20200501-1215,282.6,1015045
20200501-1220,282.48,1420870
20200501-1225,282.32,597023
20200501-1230,282.68,992753
20200501-1235,282.21,644904
